seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
11	7	mice	2	7.427631381287658	12.882716938334124
12	7	mice	2	7.132991960098714	8.071141001398498
13	7	mice	2	6.400470428926341	11.736324500838064
14	7	mice	2	7.3546684033810195	13.908928115687866
15	7	mice	2	6.354630906349812	11.266661970771137
1	8	mice	2	10.26108010156393	11.06383509802262
2	8	mice	2	12.197630639780245	13.025500964684854
3	8	mice	2	13.66848910602077	13.021886634906569
4	8	mice	2	13.85878303084929	14.68862744089363
5	8	mice	2	15.135878039033301	16.195954850816985
6	8	mice	2	13.909810445680755	13.455168036750567
7	8	mice	2	14.432154326603213	14.979324540354172
8	8	mice	2	12.643358572785587	13.644696497851816
9	8	mice	2	16.09248274650644	17.19725742126704
10	8	mice	2	16.978714244611286	17.616096499959358
11	8	mice	2	15.723744253142371	18.268283814190564
12	8	mice	2	17.08283294900061	17.72191012316239
13	8	mice	2	14.246750705449667	14.630261809024859
14	8	mice	2	16.27705186973111	16.797069973680067
15	8	mice	2	14.133789044820682	14.29553195724043
1	9	mice	2	24.000687630706853	28.910397629913692
2	9	mice	2	17.6365415857265	19.87148952657545
3	9	mice	2	18.326249610077813	21.45559528716511
4	9	mice	2	16.631775265316705	18.033379331294864
5	9	mice	2	17.12161496027322	21.91392117126181
6	9	mice	2	15.630906937341221	18.993078252103953
7	9	mice	2	19.5834813424166	22.046016378545282
8	9	mice	2	23.129323582160573	29.277205789039733
9	9	mice	2	17.04809951875602	25.89683765581205
10	9	mice	2	14.924885435129452	19.365965370415857
11	9	mice	2	27.087588289451126	31.48379465129364
12	9	mice	2	18.813020329207127	24.3937985786933
13	9	mice	2	21.456183560396084	25.997813031249084
14	9	mice	2	18.198230882383108	27.325740033456608
15	9	mice	2	17.39100951807434	23.624218866194457
1	10	mice	2	19.663896291448662	26.83390648301808
2	10	mice	2	13.983989323677958	23.74786145796456
3	10	mice	2	13.34601045398624	19.131161463715323
4	10	mice	2	9.97381993549785	17.622852479633377
5	10	mice	2	16.82248692527374	19.667277349585234
6	10	mice	2	11.099308448530683	13.616093586756783
7	10	mice	2	12.714844155235868	14.905668987838036
8	10	mice	2	19.76870443071478	28.68579011806659
9	10	mice	2	11.32858073225028	22.7566830338363
10	10	mice	2	15.781837026205752	21.9121770692423
11	10	mice	2	6.2351372703343015	17.339636707065473
12	10	mice	2	15.255577869527063	19.546978025216973
13	10	mice	2	13.344369328816207	15.945034361854084
14	10	mice	2	12.363320630724054	22.038061782486622
15	10	mice	2	18.005103713293995	24.723197319332325
1	1	mice	5	12.109841858099228	14.807079289064298
2	1	mice	5	8.467642187395617	14.582666172254603
3	1	mice	5	9.132433355988027	10.74020786514111
4	1	mice	5	15.413059630951068	17.414890453041235
5	1	mice	5	11.61732505398801	16.348272381998896
6	1	mice	5	9.041368473391577	17.081799857491998
7	1	mice	5	13.176928114366724	15.85930029041148
8	1	mice	5	9.116483104906235	16.096069586412177
9	1	mice	5	13.37890038909457	16.52663946272399
10	1	mice	5	10.77884242864938	20.239940605654073
11	1	mice	5	10.20915179044724	13.579792806054446
